generation,fitness_min,fitness_mean,fitness_max,fitness_std,labels_entropy,labels_imbalance
28,0.0703125,0.1013671875,0.171875,0.01652094396078713,0.9995381780026353,1.16
29,0.0703125,0.1001171875,0.15625,0.015444810626646373,0.9999202655046178,1.04
30,0.0546875,0.10109375,0.1484375,0.016259387312603447,0.9996616251762143,1.12
31,0.05078125,0.0980078125,0.1328125,0.0165368222975038,0.9998550008381684,1.08
32,0.06640625,0.1008203125,0.1484375,0.015455081950784625,0.9999202655046178,1.04
33,0.0625,0.1019140625,0.13671875,0.01574267213894194,0.9996616251762143,1.12
34,0.06640625,0.0982421875,0.1328125,0.016483958451490612,0.999789736171719,1.08
35,0.0625,0.0999609375,0.16015625,0.017214954989571384,0.9998550008381684,1.08
36,0.06640625,0.1030078125,0.13671875,0.014263483461245318,0.999789736171719,1.08
37,0.0546875,0.0995703125,0.1484375,0.015639592794985707,0.9998550008381684,1.08
38,0.05859375,0.0998828125,0.1328125,0.014323265857485811,0.9998550008381685,1.08
39,0.0703125,0.1025390625,0.140625,0.016465434542336524,0.9998550008381684,1.08
40,0.06640625,0.0984375,0.1328125,0.014309889909386097,0.9999202655046178,1.04
41,0.05859375,0.0985546875,0.14453125,0.015779074339507964,0.9999202655046178,1.04
42,0.0625,0.0999609375,0.1640625,0.0161067813594684,0.9998550008381685,1.08
43,0.0703125,0.101953125,0.14453125,0.01598701713256338,0.9998550008381684,1.08
44,0.0625,0.0994921875,0.14453125,0.016307880317478995,0.9998550008381684,1.08
45,0.0625,0.097421875,0.12890625,0.015177377349302646,0.9998550008381685,1.08
46,0.0625,0.09765625,0.1328125,0.01384378527083543,0.9997268898426638,1.12
47,0.05859375,0.0987109375,0.14453125,0.01496511854110146,0.999789736171719,1.08
48,0.07421875,0.10125,0.1484375,0.01458114752964423,0.999789736171719,1.08
49,0.046875,0.09765625,0.13671875,0.01605844124304255,0.9997268898426639,1.12
50,0.046875,0.097109375,0.140625,0.016049126546034367,0.9998550008381684,1.08
